date,year,weeknum,buoy,buoy_lat,buoy_long,depth_cat,depth_m,param,units,value,flag_rep_diff,flag_nd,doy
8/9/2022,2022,33,2,41.913017,-82.7367,Surface,1,CHLA,ugL,3.02,TRUE,NA,221
8/9/2022,2022,33,4,41.8927,-82.5258,Surface,1,CHLA,ugL,5.87,FALSE,NA,221
8/9/2022,2022,33,4,41.8927,-82.5258,Bottom,8,CHLA,ugL,3.32,FALSE,NA,221
8/9/2022,2022,33,5,42.002583,-82.5786,Surface,1,CHLA,ugL,11.95,FALSE,NA,221
8/9/2022,2022,33,5,42.002583,-82.5786,Bottom,8.5,CHLA,ugL,6.17,FALSE,NA,221
8/9/2022,2022,33,6,42.0222,-82.6697,Surface,1,CHLA,ugL,7.35,FALSE,NA,221
8/9/2022,2022,33,6,42.0222,-82.6697,Bottom,8,CHLA,ugL,8.79,FALSE,NA,221
8/9/2022,2022,33,7,41.99605,-82.7179,Surface,1,CHLA,ugL,7.74,FALSE,NA,221
8/9/2022,2022,33,7,41.99605,-82.7179,Bottom,9.5,CHLA,ugL,7.34,FALSE,NA,221
8/17/2022,2022,34,2,41.913017,-82.7367,Surface,1,CHLA,ugL,12.96,FALSE,NA,229
8/17/2022,2022,34,2,41.913017,-82.7367,Bottom,11,CHLA,ugL,12.47,FALSE,NA,229
8/17/2022,2022,34,4,41.8927,-82.5258,Surface,1,CHLA,ugL,7.78,FALSE,NA,229
8/17/2022,2022,34,4,41.8927,-82.5258,Bottom,8,CHLA,ugL,8.07,FALSE,NA,229
8/17/2022,2022,34,5,42.002583,-82.5786,Surface,1,CHLA,ugL,6.03,FALSE,NA,229
8/17/2022,2022,34,5,42.002583,-82.5786,Bottom,8.5,CHLA,ugL,4.94,FALSE,NA,229
8/17/2022,2022,34,6,42.0222,-82.6697,Surface,1,CHLA,ugL,5.19,FALSE,NA,229
8/17/2022,2022,34,6,42.0222,-82.6697,Bottom,8,CHLA,ugL,6.47,FALSE,NA,229
8/17/2022,2022,34,7,41.99605,-82.7179,Surface,1,CHLA,ugL,5.76,FALSE,NA,229
8/17/2022,2022,34,7,41.99605,-82.7179,Bottom,9.5,CHLA,ugL,6.12,FALSE,NA,229
8/23/2022,2022,35,2,41.913017,-82.7367,Surface,1,CHLA,ugL,10.40,FALSE,NA,235
8/23/2022,2022,35,2,41.913017,-82.7367,Bottom,11,CHLA,ugL,10.79,FALSE,NA,235
8/23/2022,2022,35,4,41.8927,-82.5258,Surface,1,CHLA,ugL,10.67,FALSE,NA,235
8/23/2022,2022,35,4,41.8927,-82.5258,Bottom,8,CHLA,ugL,8.80,FALSE,NA,235
8/23/2022,2022,35,5,42.002583,-82.5786,Surface,1,CHLA,ugL,8.19,FALSE,NA,235
8/23/2022,2022,35,5,42.002583,-82.5786,Bottom,8.5,CHLA,ugL,7.30,FALSE,NA,235
8/23/2022,2022,35,6,42.0222,-82.6697,Surface,1,CHLA,ugL,11.05,TRUE,NA,235
8/23/2022,2022,35,6,42.0222,-82.6697,Bottom,8,CHLA,ugL,10.02,FALSE,NA,235
8/23/2022,2022,35,7,41.99605,-82.7179,Surface,1,CHLA,ugL,3.48,TRUE,NA,235
8/23/2022,2022,35,7,41.99605,-82.7179,Bottom,9.5,CHLA,ugL,1.58,TRUE,NA,235
9/1/2022,2022,36,2,41.913017,-82.7367,Surface,1,CHLA,ugL,10.17,FALSE,NA,244
9/1/2022,2022,36,2,41.913017,-82.7367,Bottom,11,CHLA,ugL,11.70,FALSE,NA,244
9/1/2022,2022,36,4,41.8927,-82.5258,Surface,1,CHLA,ugL,8.21,FALSE,NA,244
9/1/2022,2022,36,4,41.8927,-82.5258,Bottom,8,CHLA,ugL,9.88,FALSE,NA,244
9/1/2022,2022,36,5,42.002583,-82.5786,Surface,1,CHLA,ugL,3.43,TRUE,NA,244
9/1/2022,2022,36,5,42.002583,-82.5786,Bottom,8.5,CHLA,ugL,13.90,FALSE,NA,244
9/1/2022,2022,36,6,42.0222,-82.6697,Surface,1,CHLA,ugL,14.60,FALSE,NA,244
9/1/2022,2022,36,6,42.0222,-82.6697,Bottom,8,CHLA,ugL,11.61,TRUE,NA,244
9/1/2022,2022,36,7,41.99605,-82.7179,Surface,1,CHLA,ugL,16.03,FALSE,NA,244
9/1/2022,2022,36,7,41.99605,-82.7179,Bottom,9.5,CHLA,ugL,16.88,FALSE,NA,244
9/6/2022,2022,37,2,41.913017,-82.7367,Surface,1,CHLA,ugL,2.13,FALSE,NA,249
9/6/2022,2022,37,2,41.913017,-82.7367,Bottom,11,CHLA,ugL,1.40,TRUE,NA,249
9/6/2022,2022,37,4,41.8927,-82.5258,Surface,1,CHLA,ugL,9.45,FALSE,NA,249
9/6/2022,2022,37,4,41.8927,-82.5258,Bottom,8,CHLA,ugL,10.19,FALSE,NA,249
9/6/2022,2022,37,5,42.002583,-82.5786,Surface,1,CHLA,ugL,8.26,TRUE,NA,249
9/6/2022,2022,37,5,42.002583,-82.5786,Bottom,8.5,CHLA,ugL,5.25,FALSE,NA,249
9/6/2022,2022,37,6,42.0222,-82.6697,Surface,1,CHLA,ugL,9.86,FALSE,NA,249
9/6/2022,2022,37,6,42.0222,-82.6697,Bottom,8,CHLA,ugL,7.43,FALSE,NA,249
9/6/2022,2022,37,7,41.99605,-82.7179,Surface,1,CHLA,ugL,3.10,FALSE,NA,249
9/6/2022,2022,37,7,41.99605,-82.7179,Bottom,9.5,CHLA,ugL,5.39,TRUE,NA,249
9/23/2022,2022,39,2,41.913017,-82.7367,Surface,1,CHLA,ugL,1.52,FALSE,NA,266
9/23/2022,2022,39,2,41.913017,-82.7367,Bottom,11,CHLA,ugL,2.87,TRUE,NA,266
9/23/2022,2022,39,4,41.8927,-82.5258,Surface,1,CHLA,ugL,3.52,TRUE,NA,266
9/23/2022,2022,39,4,41.8927,-82.5258,Bottom,8,CHLA,ugL,5.89,TRUE,NA,266
9/23/2022,2022,39,5,42.002583,-82.5786,Surface,1,CHLA,ugL,7.90,TRUE,NA,266
9/23/2022,2022,39,5,42.002583,-82.5786,Bottom,8.5,CHLA,ugL,7.41,FALSE,NA,266
9/23/2022,2022,39,6,42.0222,-82.6697,Surface,1,CHLA,ugL,3.37,TRUE,NA,266
9/23/2022,2022,39,6,42.0222,-82.6697,Bottom,8,CHLA,ugL,4.78,FALSE,NA,266
9/23/2022,2022,39,7,41.99605,-82.7179,Surface,1,CHLA,ugL,2.93,TRUE,NA,266
9/23/2022,2022,39,7,41.99605,-82.7179,Bottom,9.5,CHLA,ugL,4.11,TRUE,NA,266
5/18/2023,2023,20,4,41.8927,-82.525767,Surface,1,CHLA,ugL,0.80,FALSE,NA,138
5/18/2023,2023,20,4,41.8927,-82.525767,Bottom,9.8,CHLA,ugL,1.04,FALSE,NA,138
5/18/2023,2023,20,5,42.002583,-82.578633,Surface,1,CHLA,ugL,2.06,TRUE,NA,138
5/18/2023,2023,20,5,42.002583,-82.578633,Bottom,8.1,CHLA,ugL,2.59,FALSE,NA,138
5/30/2023,2023,22,2,41.913017,-82.73665,Surface,1,CHLA,ugL,0.06,TRUE,NA,150
5/30/2023,2023,22,2,41.913017,-82.73665,Bottom,10.9,CHLA,ugL,1.07,TRUE,NA,150
5/30/2023,2023,22,4,41.8927,-82.525767,Surface,1,CHLA,ugL,1.93,FALSE,NA,150
5/30/2023,2023,22,4,41.8927,-82.525767,Bottom,9.8,CHLA,ugL,0.91,TRUE,NA,150
5/30/2023,2023,22,5,42.002583,-82.578633,Surface,1,CHLA,ugL,3.54,FALSE,NA,150
5/30/2023,2023,22,5,42.002583,-82.578633,Bottom,8.1,CHLA,ugL,2.10,FALSE,NA,150
5/30/2023,2023,22,6,42.0222,-82.669683,Surface,1,CHLA,ugL,2.17,FALSE,NA,150
5/30/2023,2023,22,6,42.0222,-82.669683,Bottom,7.9,CHLA,ugL,4.41,FALSE,NA,150
5/30/2023,2023,22,7,41.99605,-82.7179,Surface,1,CHLA,ugL,0.91,FALSE,NA,150
5/30/2023,2023,22,7,41.99605,-82.7179,Bottom,9.5,CHLA,ugL,1.95,FALSE,NA,150
6/11/2023,2023,24,2,41.913017,-82.73665,Surface,1,CHLA,ugL,2.52,FALSE,NA,162
6/11/2023,2023,24,2,41.913017,-82.73665,Bottom,10.9,CHLA,ugL,2.28,FALSE,NA,162
6/11/2023,2023,24,5,42.002583,-82.578633,Surface,1,CHLA,ugL,5.81,FALSE,NA,162
6/11/2023,2023,24,5,42.002583,-82.578633,Bottom,8.1,CHLA,ugL,3.88,FALSE,NA,162
6/11/2023,2023,24,6,42.0222,-82.669683,Surface,1,CHLA,ugL,3.72,FALSE,NA,162
6/11/2023,2023,24,6,42.0222,-82.669683,Bottom,7.9,CHLA,ugL,3.37,FALSE,NA,162
6/11/2023,2023,24,7,41.99605,-82.7179,Surface,1,CHLA,ugL,1.88,FALSE,NA,162
6/11/2023,2023,24,7,41.99605,-82.7179,Bottom,9.5,CHLA,ugL,2.65,FALSE,NA,162
6/23/2023,2023,25,2,41.913017,-82.73665,Surface,1,CHLA,ugL,6.84,FALSE,NA,174
